smiles,permeable,mol_wt,logp,h_donors,tpsa,qed,is_natural_like,split
C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,1.0,360.3250000000001,4.635000000000004,0.0,29.54,0.4748208495574166,False,train
C[C@H](N)Cc1ccccc1,1.0,135.20999999999998,1.5763,1.0,26.02,0.6542162175383444,False,train
C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,1.0,356.2270000000001,0.4043000000000002,3.0,103.70000000000002,0.6406363565705827,False,train
CC(N)COc1c(C)cccc1C,1.0,179.26299999999998,2.02944,1.0,35.25,0.7701737793320904,False,train
c1(ccccc1)CC,1.0,106.168,2.249000000000001,0.0,0.0,0.5147578217927746,False,test
c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O,1.0,336.4320000000001,2.3655000000000013,3.0,87.66000000000001,0.5710137425129463,False,train
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,1.0,379.5010000000002,2.8907000000000007,3.0,90.9,0.5740604449563793,False,train
CC(=O)Nc1ccc(O)cc1,1.0,151.165,1.3505999999999998,2.0,49.33,0.5950261967780849,False,train
CC(=O)Oc1ccccc1C(O)=O,0.0,180.15899999999996,1.3101,1.0,63.6,0.5501217966938848,False,train
C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,0.0,226.232,-0.0531000000000001,5.0,115.81,0.2790266001792835,False,test
OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,0.0,304.217,3.377900000000002,1.0,40.54,0.7110607782360152,False,train
NNCCc1ccccc1.O[S](O)(=O)=O,1.0,234.277,0.0395999999999993,4.0,112.65,0.333500592752151,False,train
NC(=O)OCCCc1ccccc1,1.0,179.21900000000002,1.7145,1.0,52.32000000000001,0.7152164577917951,False,train
NCC(O)c1ccc(O)c(O)c1,0.0,169.17999999999998,0.0898999999999999,4.0,86.71000000000001,0.4724272074622585,False,train
